object_name,object_value
1.jp2,10
10.jp2,
2.jp2,44
3.jp2,94
4.jp2,64
5.jp2,24
6.jp2,64
7.jp2,95
8.jp2,255
9.jp2,91
11.jp2,13
12.jp2,24
13.jp2,22
14.jp2,37
15.jp2,113
16.jp2,448
17.jp2,327
18.jp2,63
19.jp2,160
20.jp2,
21.jp2,20
22.jp2,306
23.jp2,34
24.jp2,41
25.jp2,79
26.jp2,841
27.jp2,122
28.jp2,846
29.jp2,251
30.jp2,30
31.jp2,51
32.jp2,1179
33.jp2,1446
34.jp2,49
35.jp2,46
36.jp2,1441
37.jp2,152
38.jp2,893
39.jp2,501
40.jp2,148
41.jp2,763
42.jp2,2120
43.jp2,3024
44.jp2,93
45.jp2,24
46.jp2,1619
47.jp2,174
48.jp2,998
49.jp2,507
50.jp2,
51.jp2,95
52.jp2,1894
53.jp2,4172
54.jp2,112
55.jp2,46
56.jp2,147
57.jp2,79
58.jp2,65
59.jp2,15673
60.jp2,
61.jp2,147
62.jp2,500
63.jp2,851
64.jp2,53
65.jp2,32
66.jp2,77
67.jp2,119
68.jp2,26
69.jp2,
70.jp2,
71.jp2,245
72.jp2,15
73.jp2,116
74.jp2,1217
75.jp2,590
76.jp2,252
77.jp2,135
78.jp2,24
100.jp2,10
101.jp2,146
102.jp2,1158
103.jp2,656
104.jp2,281
105.jp2,180
106.jp2,221
107.jp2,100
108.jp2,14
109.jp2,14812
110.jp2,
111.jp2,169
112.jp2,335
113.jp2,23
114.jp2,93
115.jp2,133
116.jp2,139
117.jp2,29
118.jp2,13
119.jp2,206
120.jp2,
121.jp2,1147
122.jp2,121
123.jp2,53
124.jp2,18
125.jp2,361
126.jp2,12
127.jp2,401
128.jp2,18
129.jp2,7
130.jp2,62
79.jp2,
80.jp2,
81.jp2,445
82.jp2,18
83.jp2,33
84.jp2,84
85.jp2,175
86.jp2,179
87.jp2,104
88.jp2,25
89.jp2,111
90.jp2,
91.jp2,76
92.jp2,98
93.jp2,569
94.jp2,1514
95.jp2,234
96.jp2,284
97.jp2,137
98.jp2,13
99.jp2,
