object_name,object_value
1.jp2,8
101.jp2,87
105.jp2,93
109.jp2,
113.jp2,14
117.jp2,16
121.jp2,186
125.jp2,67
129.jp2,9
13.jp2,12
17.jp2,48
21.jp2,17
25.jp2,20
29.jp2,11
33.jp2,280
37.jp2,132
41.jp2,133
45.jp2,13
49.jp2,59
5.jp2,8
53.jp2,761
57.jp2,27
61.jp2,3
65.jp2,13
69.jp2,
73.jp2,39
77.jp2,55
81.jp2,19
85.jp2,129
89.jp2,10
9.jp2,3
93.jp2,60
97.jp2,62
10.jp2,
102.jp2,223
106.jp2,90
110.jp2,
114.jp2,30
118.jp2,7
122.jp2,36
126.jp2,8
130.jp2,
14.jp2,15
18.jp2,21
2.jp2,22
22.jp2,64
26.jp2,192
30.jp2,10
34.jp2,21
38.jp2,197
42.jp2,399
46.jp2,268
50.jp2,
54.jp2,45
58.jp2,31
6.jp2,10
62.jp2,96
66.jp2,25
70.jp2,
74.jp2,213
78.jp2,7
82.jp2,5
86.jp2,125
90.jp2,
94.jp2,230
98.jp2,3
100.jp2,4
103.jp2,88
104.jp2,46
107.jp2,15
108.jp2,3
11.jp2,9
111.jp2,120
112.jp2,87
115.jp2,46
116.jp2,49
119.jp2,15
12.jp2,12
120.jp2,
123.jp2,12
124.jp2,5
127.jp2,28
128.jp2,11
15.jp2,13
16.jp2,120
19.jp2,6
20.jp2,
23.jp2,13
24.jp2,17
27.jp2,80
28.jp2,190
3.jp2,32
31.jp2,16
32.jp2,211
35.jp2,15
36.jp2,313
39.jp2,44
4.jp2,22
40.jp2,28
43.jp2,625
44.jp2,46
47.jp2,116
48.jp2,137
51.jp2,27
52.jp2,387
55.jp2,25
56.jp2,23
59.jp2,
60.jp2,
63.jp2,187
64.jp2,20
67.jp2,35
68.jp2,11
7.jp2,32
71.jp2,8
72.jp2,5
75.jp2,86
76.jp2,81
79.jp2,
8.jp2,15
80.jp2,
83.jp2,13
84.jp2,50
87.jp2,50
88.jp2,11
91.jp2,31
92.jp2,34
95.jp2,151
96.jp2,102
99.jp2,
