object_name,object_value
59.jp2,15673.0
109.jp2,14812.0
53.jp2,4172.0
43.jp2,3024.0
42.jp2,2120.0
52.jp2,1894.0
46.jp2,1619.0
94.jp2,1514.0
33.jp2,1446.0
36.jp2,1441.0
74.jp2,1217.0
32.jp2,1179.0
102.jp2,1158.0
121.jp2,1147.0
48.jp2,998.0
38.jp2,893.0
63.jp2,851.0
28.jp2,846.0
26.jp2,841.0
41.jp2,763.0
103.jp2,656.0
75.jp2,590.0
93.jp2,569.0
49.jp2,507.0
39.jp2,501.0
62.jp2,500.0
16.jp2,448.0
81.jp2,445.0
127.jp2,401.0
125.jp2,361.0
112.jp2,335.0
17.jp2,327.0
22.jp2,306.0
96.jp2,284.0
104.jp2,281.0
8.jp2,255.0
76.jp2,252.0
29.jp2,251.0
71.jp2,245.0
95.jp2,234.0
106.jp2,221.0
119.jp2,206.0
105.jp2,180.0
86.jp2,179.0
85.jp2,175.0
47.jp2,174.0
111.jp2,169.0
19.jp2,160.0
37.jp2,152.0
40.jp2,148.0
61.jp2,147.0
56.jp2,147.0
101.jp2,146.0
116.jp2,139.0
97.jp2,137.0
77.jp2,135.0
115.jp2,133.0
27.jp2,122.0
122.jp2,121.0
67.jp2,119.0
73.jp2,116.0
15.jp2,113.0
54.jp2,112.0
89.jp2,111.0
87.jp2,104.0
107.jp2,100.0
92.jp2,98.0
51.jp2,95.0
7.jp2,95.0
3.jp2,94.0
44.jp2,93.0
114.jp2,93.0
9.jp2,91.0
84.jp2,84.0
57.jp2,79.0
25.jp2,79.0
66.jp2,77.0
91.jp2,76.0
58.jp2,65.0
4.jp2,64.0
6.jp2,64.0
18.jp2,63.0
130.jp2,62.0
123.jp2,53.0
64.jp2,53.0
31.jp2,51.0
34.jp2,49.0
55.jp2,46.0
35.jp2,46.0
2.jp2,44.0
24.jp2,41.0
14.jp2,37.0
23.jp2,34.0
83.jp2,33.0
65.jp2,32.0
30.jp2,30.0
117.jp2,29.0
68.jp2,26.0
88.jp2,25.0
5.jp2,24.0
12.jp2,24.0
78.jp2,24.0
45.jp2,24.0
113.jp2,23.0
13.jp2,22.0
21.jp2,20.0
82.jp2,18.0
128.jp2,18.0
124.jp2,18.0
72.jp2,15.0
108.jp2,14.0
98.jp2,13.0
118.jp2,13.0
11.jp2,13.0
126.jp2,12.0
100.jp2,10.0
1.jp2,10.0
129.jp2,7.0
10.jp2,
20.jp2,
50.jp2,
60.jp2,
69.jp2,
70.jp2,
110.jp2,
120.jp2,
79.jp2,
80.jp2,
90.jp2,
99.jp2,
