object_name,object_value
53.jp2,761.0
43.jp2,625.0
42.jp2,399.0
52.jp2,387.0
36.jp2,313.0
33.jp2,280.0
46.jp2,268.0
94.jp2,230.0
102.jp2,223.0
74.jp2,213.0
32.jp2,211.0
38.jp2,197.0
26.jp2,192.0
28.jp2,190.0
63.jp2,187.0
121.jp2,186.0
95.jp2,151.0
48.jp2,137.0
41.jp2,133.0
37.jp2,132.0
85.jp2,129.0
86.jp2,125.0
111.jp2,120.0
16.jp2,120.0
47.jp2,116.0
96.jp2,102.0
62.jp2,96.0
105.jp2,93.0
106.jp2,90.0
103.jp2,88.0
112.jp2,87.0
101.jp2,87.0
75.jp2,86.0
76.jp2,81.0
27.jp2,80.0
125.jp2,67.0
22.jp2,64.0
97.jp2,62.0
93.jp2,60.0
49.jp2,59.0
77.jp2,55.0
84.jp2,50.0
87.jp2,50.0
116.jp2,49.0
17.jp2,48.0
115.jp2,46.0
44.jp2,46.0
104.jp2,46.0
54.jp2,45.0
39.jp2,44.0
73.jp2,39.0
122.jp2,36.0
67.jp2,35.0
92.jp2,34.0
3.jp2,32.0
7.jp2,32.0
91.jp2,31.0
58.jp2,31.0
114.jp2,30.0
40.jp2,28.0
127.jp2,28.0
57.jp2,27.0
51.jp2,27.0
66.jp2,25.0
55.jp2,25.0
56.jp2,23.0
2.jp2,22.0
4.jp2,22.0
34.jp2,21.0
18.jp2,21.0
25.jp2,20.0
64.jp2,20.0
81.jp2,19.0
24.jp2,17.0
21.jp2,17.0
117.jp2,16.0
31.jp2,16.0
35.jp2,15.0
119.jp2,15.0
8.jp2,15.0
14.jp2,15.0
107.jp2,15.0
113.jp2,14.0
45.jp2,13.0
15.jp2,13.0
65.jp2,13.0
23.jp2,13.0
83.jp2,13.0
13.jp2,12.0
123.jp2,12.0
12.jp2,12.0
29.jp2,11.0
68.jp2,11.0
128.jp2,11.0
88.jp2,11.0
6.jp2,10.0
30.jp2,10.0
89.jp2,10.0
129.jp2,9.0
11.jp2,9.0
71.jp2,8.0
1.jp2,8.0
126.jp2,8.0
5.jp2,8.0
78.jp2,7.0
118.jp2,7.0
19.jp2,6.0
72.jp2,5.0
124.jp2,5.0
82.jp2,5.0
100.jp2,4.0
108.jp2,3.0
9.jp2,3.0
61.jp2,3.0
98.jp2,3.0
109.jp2,
69.jp2,
10.jp2,
110.jp2,
130.jp2,
50.jp2,
70.jp2,
90.jp2,
120.jp2,
20.jp2,
59.jp2,
60.jp2,
79.jp2,
80.jp2,
99.jp2,
